object-id,title,identifier,functional-category,material,vessel-form,artifact-dimensions,pigment-application,decoration-type,exterior-decoration-method,exterior-decoration-color,exterior-decoration-elements,interior-decoration-method,interior-decoration-color,interior-decoration-elements,marks,cdm-number
hjccc-9,Etsuke Chawan (hand-painted bowl),45SN398B-2007-1447,Mealtime Tableware,Jiki (porcelain),Chawan (indeterminate bowl),Rim~ 11 cm,Shita-Etsuke (underglaze),Other,Etsuke (hand painted),"Cobalt blue, green",Indeterminate (leaves and berries),None,None,None,None,9
hjccc-54,Exterior of Sometsuke Gohan Jawan (hand-painted cobalt rice/soup bowl) [3],45SN398B-2007-1450.1_1of2,,Jiki (porcelain),,,,Sometsuke (hand-painted cobalt),Etsuke (hand painted),Cobalt blue,Horizontal band around footring,,,,,52
hjccc-54,Side of Sometsuke Gohan Jawan (hand-painted cobalt rice/soup bowl) [3],45SN398B-2007-1450.1_2of2,,Jiki (porcelain),,,,,,,,None,None,None,None,53
hjccc-12,Sometsuke Take Chawan (bowl with cobalt hand-painted bamboo),45SN398B-2007-1466B,Mealtime Tableware,Jiki (porcelain),Chawan (indeterminate bowl),"Rim~ 10 cm, footring~ 4 cm, height= 5 cm",Shita-Etsuke (underglaze),Sometsuke (hand-painted cobalt),Etsuke (hand painted),Cobalt blue,Take (bamboo),None,None,None,None,12
hjccc-160,Interior of Suribachi (grinding bowl) [1],45SN398B-2007-1501_1of2,,Toki (porous stoneware),Suribachi (grinding bowl),,,Other,,,,Other,Reddish-brown,None,,158
hjccc-160,Exterior of Suribachi (grinding bowl) [1],45SN398B-2007-1501_2of2,,Toki (porous stoneware),Suribachi (grinding bowl),,,Other,Iroyu (colored glaze),Reddish-brown,None,,,,,159
hjccc-63,Exterior of Sansui Dobin (landscape teapot),45SN398B-2007-1605_1of2,,,,,,,Etsuke (hand painted),"Yellow, brown, green, white",Yama (mountain),,,,,61
hjccc-63,Interior of Sansui Dobin (landscape teapot),45SN398B-2007-1605_2of2,,,,,,,,,,None,None,None,None,62
hjccc-15,Doban Ume Soba-Choko (noodle cup with transferprint plum),45SN398B-2007-1692,Mealtime Tableware,Jiki (porcelain),Soba Choko (cold noodle cup),Base= 6.5 cm,Shita-Etsuke (underglaze),Iro Doban (colored transferprint),Doban or Doban Tensha (transferprinted),"Green, pink",Ume (plum) tree,None,None,None,None,15
hjccc-140,Side of Doban Sen (transferprint coin) Vessel,45SN398B-2007-1844_1of2,,Jiki (porcelain),Unknown,,,Other,Doban or Doban Tensha (transferprinted),Green,Sen (coin),,,,,138
hjccc-140,Side of Doban Sen (transferprint coin) Vessel,45SN398B-2007-1844_2of2,,Jiki (porcelain),Unknown,,,Other,Doban or Doban Tensha (transferprinted),Green,Sen (coin),None,None,None,,139
hjccc-57,Exterior of Doban Sakazuki (transferprint sake cup),45SN398B-2007-1908_1of2,,Jiki (porcelain),,,,,Doban or Doban Tensha (transferprinted),"Green, brown","Horizontal band around footring, landscape",,,,,55
hjccc-57,Interior of Doban Sakazuki (transferprint sake cup),45SN398B-2007-1908_2of2,,Jiki (porcelain),,,,,,,,None,None,None,None,56
hjccc-16,Sometsuke Fuku Chawan (bowl with cobalt hand-painted 'luck'),45SN398B-2007-2059B,Mealtime Tableware,Jiki (porcelain),Chawan (indeterminate bowl),Rim~ 12 cm,Shita-Etsuke (underglaze),Sometsuke (hand-painted cobalt),Etsuke (hand painted),Cobalt blue,"Horizontal band around footring, indeterminate, written characters",Etsuke (hand painted),Cobalt blue,Horizontal band around rim,"Mark on vessel side-wall is part of the character for fuku (福), which means luck.",16
