object-id,title,identifier
hjccc-9,Etsuke Chawan (hand-painted bowl),45SN398B-2007-1447
hjccc-54,Exterior of Sometsuke Gohan Jawan (hand-painted cobalt rice/soup bowl) [3],45SN398B-2007-1450.1_1of2
hjccc-54,Side of Sometsuke Gohan Jawan (hand-painted cobalt rice/soup bowl) [3],45SN398B-2007-1450.1_2of2
hjccc-12,Sometsuke Take Chawan (bowl with cobalt hand-painted bamboo),45SN398B-2007-1466B
hjccc-160,Interior of Suribachi (grinding bowl) [1],45SN398B-2007-1501_1of2
hjccc-160,Exterior of Suribachi (grinding bowl) [1],45SN398B-2007-1501_2of2
hjccc-63,Exterior of Sansui Dobin (landscape teapot),45SN398B-2007-1605_1of2
hjccc-63,Interior of Sansui Dobin (landscape teapot),45SN398B-2007-1605_2of2
hjccc-15,Doban Ume Soba-Choko (noodle cup with transferprint plum),45SN398B-2007-1692
hjccc-140,Side of Doban Sen (transferprint coin) Vessel,45SN398B-2007-1844_1of2
hjccc-140,Side of Doban Sen (transferprint coin) Vessel,45SN398B-2007-1844_2of2
hjccc-57,Exterior of Doban Sakazuki (transferprint sake cup),45SN398B-2007-1908_1of2
hjccc-57,Interior of Doban Sakazuki (transferprint sake cup),45SN398B-2007-1908_2of2
hjccc-16,Sometsuke Fuku Chawan (bowl with cobalt hand-painted 'luck'),45SN398B-2007-2059B
hjccc-8,Sometsuke Take Zara (dish with cobalt hand-painted bamboo),45SN398B-2007-222
hjccc-141,Doban Yin-Yo Gohan Jawan (rice/soup bowl with transferprint threefold swirl),45SN398B-2007-223_1of1
hjccc-14,Doban Chawan (transferprint bowl),45SN398B-2007-224
hjccc-20,Bottom of Sometsuke Gohan Jawan (hand-painted cobalt rice/soup bowl),45SN398B-2007-226_1of2
hjccc-20,Side of Sometsuke Gohan Jawan (hand-painted cobalt rice/soup bowl),45SN398B-2007-226_2of2
hjccc-23,Bottom of Sometsuke Doban Sho Chiku Bai Gohan Jawan (rice/soup bowl with cobalt transferprint three friends design),45SN398B-2007-228.1_1of2
hjccc-23,Side of Sometsuke Doban Sho Chiku Bai Gohan Jawan (rice/soup bowl with cobalt transferprint three friends design),45SN398B-2007-228.1_2of2
hjccc-26,Bottom of Sometsuke Gohan Jawan (hand-painted cobalt rice/soup bowl) [2],45SN398B-2007-229A_1of2
hjccc-26,Side of Sometsuke Gohan Jawan (hand-painted cobalt rice/soup bowl) [2],45SN398B-2007-229A_2of2
hjccc-30,Side of Sometsuke Botan Doban Mamezara (sauce dish with cobalt transferprint peony),45SN398B-2007-232_1of3
hjccc-30,Interior of Sometsuke Botan Doban Mamezara (sauce dish with cobalt transferprint peony),45SN398B-2007-232_2of3
hjccc-30,Bottom of Sometsuke Botan Doban Mamezara (sauce dish with cobalt transferprint peony),45SN398B-2007-232_3of3
hjccc-33,Top of Sometsuke Jawan No Futa (hand-painted cobalt bowl lid),45SN398B-2007-234J_1of2
hjccc-33,Side of Sometsuke Jawan No Futa (hand-painted cobalt bowl lid),45SN398B-2007-234J_2of2
hjccc-13,Sometsuke (hand-painted cobalt) Vessel [2],45SN398B-2007-234P
hjccc-17,Sometsuke (hand-painted cobalt) Vessel [1],45SN398B-2007-234Q
hjccc-36,Bottom of Sometsuke (hand-painted cobalt) Cup,45SN398B-2007-234R_1of2
hjccc-36,Side Sometsuke (hand-painted cobalt) Cup,45SN398B-2007-234R_2of2
hjccc-39,Interior of Sumi Hajiki Kaede Kozara (small dish with ink resist maple leaves ),45SN398B-2007-236_1of2
hjccc-39,Side of Sumi Hajiki Kaede Kozara (small dish with ink resist maple leaves ),45SN398B-2007-236_2of2
hjccc-42,Top of Dobin No Futa (teapot lid),45SN398B-2007-254_1of2
hjccc-42,Side of Dobin No Futa (teapot lid),45SN398B-2007-254_2of2
