field,display-name,dc-map
title,Title,DC.title
catalog-number,Catalog Number
source,Source
description,Description,DC.description
coverage,Site Location,
date,Site Date,
functional-category,Functional Category
material,Material
vessel-form,Vessel Form
dimensions,Artifact Dimensions
pigment-application,Pigment Application
decoration-type,Decoration Type
exterior-decoration-method,Exterior Decoration Method
exterior-decoration-color,Exteriror Decoration Color
exterior-decoration-elements,Exterior Decoration Elements
interior-decoration-method,Interior Decoration Method
interior-decoration-color,Interior Decoration Color
interior-decoration-elements,Interior Decoration Elements
marks,Marks
origin,Manufacture Origin
manufacture-range,Manufacture Date Range
publisher,Publisher
rights,Rights
standardized-rights,Standardized Rights
preferred-image-citation,Preferred Image Citation
metadata-creator,Metadata Creator
