object-id,Title,Catalog Number,Source,Description,Coverage,Date,Functional Category,Material,Vessel Form,Dimensions,Pigment Application,Decoration Type,Exterior Decoration Method,Exterior Decoration Color(s),Exterior Decoration Elements,Interior Decoration Method,Interior Decoration Color(s),Interior Decoration Elements,Marks,Origin,Manufacture Range,Publisher,Rights,Standardized Rights,Preferred Image Citation,Identifier,Metadata Creator,filename,OCLC number,Date created,Date modified,Reference URL,CONTENTdm number,CONTENTdm file name,CONTENTdm file path
hjccc-8,Sometsuke Take Zara (dish with cobalt hand-painted bamboo),45SN398B/2007/222,"Burke Museum of Natural History and Culture, US Air Force Collection","Mending sherds of a sara of indeterminate size.  Vessel has hand-painted bamboo elements on the interior along with a central element or medallion that is too fragmentary to identify, and two blue bands on the exterior base.","Near Mukilteo, Washington",1903-1928,Mealtime Tableware,Jiki (porcelain),Sara (indeterminate dish/plate),Footring~ 8 cm,Shita-Etsuke (underglaze),Sometsuke (hand-painted cobalt),Etsuke (hand painted),Cobalt blue,Horizontal band around footring,Etsuke (hand painted),Cobalt blue,Take (bamboo),None,Japan,Minimalistic hand-painted sometsuke may indicate Taisho-era (1912-1926) manufacture,University of Idaho Library Digital Initiatives,Copyright under creative commons license. Images available for reuse in educational (non-commercial) instances; see license details at Creative Commons.,https://creativecommons.org/publicdomain/mark/1.0/,"Photo courtesy of the Burke Museum of Natural History and Culture, catalog no. 45SN398B/2007/222, US Air Force Collection, held in trust at the Burke Museum, Seattle.  See citation guidelines.",45SN398B-2007-222,Renae Campbell,,,2018-02-07,2018-05-31,http://digital.lib.uidaho.edu:80/cdm/ref/collection/HJCCC/id/8,8,10.jpg,/HJCCC/image/10.jpg
hjccc-9,Etsuke Chawan (hand-painted bowl),45SN398B/2007/1447,"Burke Museum of Natural History and Culture, US Air Force Collection",The size and shape of this vessel sherd suggest some type of chawan.  Decoration consists of cobalt leaves and green berries.,"Near Mukilteo, Washington",1903-1928,Mealtime Tableware,Jiki (porcelain),Chawan (indeterminate bowl),Rim~ 11 cm,Shita-Etsuke (underglaze),Other,Etsuke (hand painted),"Cobalt blue, green",Indeterminate (leaves and berries),None,None,None,None,Japan,Meiji (1868-1912) through early Showa (1926-1989) eras,University of Idaho Library Digital Initiatives,Copyright under creative commons license. Images available for reuse in educational (non-commercial) instances; see license details at Creative Commons.,https://creativecommons.org/publicdomain/mark/1.0/,"Photo courtesy of the Burke Museum of Natural History and Culture, catalog no. 45SN398B/2007/1447, US Air Force Collection, held in trust at the Burke Museum, Seattle.  See citation guidelines.",45SN398B-2007-1447,Renae Campbell,,,2018-02-07,2018-05-31,http://digital.lib.uidaho.edu:80/cdm/ref/collection/HJCCC/id/9,9,11.jpg,/HJCCC/image/11.jpg
hjccc-10,Suyehiro Sometsuke Doban Gohan Jawan (rice/soup bowl with cobalt transferprint fans),45SN398B/2007/286 and and 45SN398B/2007/225,"Burke Museum of Natural History and Culture, US Air Force Collection","This vessel is most likely a small rice bowl or large teacup. Decoration consists of overlapping fans that contain cherry blossom, bat, and moon elements.","Near Mukilteo, Washington",1903-1928,Mealtime Tableware,Jiki (porcelain),Gohan Chawan (rice/soup bowl),"Rim~ 11 cm, footring~ 4.5 cm",Shita-Etsuke (underglaze),Sometsuke Doban (transferprint cobalt),Doban or Doban Tensha (transferprinted),Cobalt blue,"Komori (bats), sakura (cherry) blossom, suyehiro (fans)",None,None,None,None,Japan,Most popular in the Meiji (1868-1912) and Taisho (1912-1926) eras,University of Idaho Library Digital Initiatives,Copyright under creative commons license. Images available for reuse in educational (non-commercial) instances; see license details at Creative Commons.,https://creativecommons.org/publicdomain/mark/1.0/,"Photo courtesy of the Burke Museum of Natural History and Culture, catalog no. 45SN398B/2007/286 and 225, US Air Force Collection, held in trust at the Burke Museum, Seattle.  See citation guidelines.",45SN398B-2007-286 and and 45SN398B-2007-225,Renae Campbell,,,2018-02-07,2018-05-31,http://digital.lib.uidaho.edu:80/cdm/ref/collection/HJCCC/id/10,10,12.jp2,/HJCCC/image/12.jp2
hjccc-11,Ume Sometsuke Gohan Jawan (rice/soup bowl with cobalt hand-painted plum),45SN398B/2007/285 and and 45SN398B/2007/234I,"Burke Museum of Natural History and Culture, US Air Force Collection",Mending sherds a gohan chawan with hand-painted and slightly abstracted ume (plum) branches flowers and horizontal bands around the vessel rim and footring.,"Near Mukilteo, Washington",1903-1928,Mealtime Tableware,Jiki (porcelain),Gohan Chawan (rice/soup bowl),"Rim~ 11 cm, footring~ 4.5 cm, height= 5.5 cm",Shita-Etsuke (underglaze),Sometsuke (hand-painted cobalt),Etsuke (hand painted),Cobalt blue,"Horizontal band around footring, ume (plum)",None,None,None,None,Japan,Minimalistic hand-painted sometsuke may indicate Taisho-era (1912-1926) manufacture,University of Idaho Library Digital Initiatives,Copyright under creative commons license. Images available for reuse in educational (non-commercial) instances; see license details at Creative Commons.,https://creativecommons.org/publicdomain/mark/1.0/,"Photo courtesy of the Burke Museum of Natural History and Culture, catalog no. 45SN398B/2007/285 and 234I, US Air Force Collection, held in trust at the Burke Museum, Seattle.  See citation guidelines.",45SN398B-2007-285 and and 45SN398B-2007-234I,Renae Campbell,,,2018-02-07,2018-05-31,http://digital.lib.uidaho.edu:80/cdm/ref/collection/HJCCC/id/11,11,13.jp2,/HJCCC/image/13.jp2
hjccc-12,Sometsuke Take Chawan (bowl with cobalt hand-painted bamboo),45SN398B/2007/1466B,"Burke Museum of Natural History and Culture, US Air Force Collection","Based on its size and shape, this vessel sherd is likely from a large teacup or a small bowl.","Near Mukilteo, Washington",1903-1928,Mealtime Tableware,Jiki (porcelain),Chawan (indeterminate bowl),"Rim~ 10 cm, footring~ 4 cm, height= 5 cm",Shita-Etsuke (underglaze),Sometsuke (hand-painted cobalt),Etsuke (hand painted),Cobalt blue,Take (bamboo),None,None,None,None,Japan,Minimalistic hand-painted sometsuke may indicate Taisho-era (1912-1926) manufacture,University of Idaho Library Digital Initiatives,Copyright under creative commons license. Images available for reuse in educational (non-commercial) instances; see license details at Creative Commons.,https://creativecommons.org/publicdomain/mark/1.0/,"Photo courtesy of the Burke Museum of Natural History and Culture, catalog no. 45SN398B/2007/1466B, US Air Force Collection, held in trust at the Burke Museum, Seattle.  See citation guidelines.",45SN398B-2007-1466B,Renae Campbell,,,2018-02-07,2018-05-31,http://digital.lib.uidaho.edu:80/cdm/ref/collection/HJCCC/id/12,12,14.jpg,/HJCCC/image/14.jpg
hjccc-13,Sometsuke (hand-painted cobalt) Vessel [2],45SN398B/2007/234P,"Burke Museum of Natural History and Culture, US Air Force Collection",A small vessel with thin walls that may be a tea or sake cup but that is too incomplete to definitively identify.,"Near Mukilteo, Washington",1903-1928,Indeterminate Tableware,Jiki (porcelain),Unknown,Footring~ 4.5 cm,Shita-Etsuke (underglaze),Sometsuke (hand-painted cobalt),Etsuke (hand painted),Cobalt blue,"Horizontal band around footring, indeterminate",None,None,None,"Partial hand-painted base mark with only one complete character, which may be gi (祇)",Japan,Meiji (1868-1912) through early Showa (1926-1989) eras,University of Idaho Library Digital Initiatives,Copyright under creative commons license. Images available for reuse in educational (non-commercial) instances; see license details at Creative Commons.,https://creativecommons.org/publicdomain/mark/1.0/,"Photo courtesy of the Burke Museum of Natural History and Culture, catalog no. 45SN398B/2007/234P, US Air Force Collection, held in trust at the Burke Museum, Seattle.  See citation guidelines.",45SN398B-2007-234P,Renae Campbell,,,2018-02-07,2018-05-31,http://digital.lib.uidaho.edu:80/cdm/ref/collection/HJCCC/id/13,13,15.jpg,/HJCCC/image/15.jpg
hjccc-14,Doban Chawan (transferprint bowl),45SN398B/2007/224,"Burke Museum of Natural History and Culture, US Air Force Collection","Base and footring of a rice or side bowl. Decoration is an abstract botanical design with blue trellis-like shapes, leaves, and brown flowers. The Kikusui export mark has been identified at sites throughout the West that were occupied between approximately 1900 and 1945 (Burton 2005:96; Costello et al. 2001:33-34; Costello and Maniery 1988:27,83; Ross 2012:25-26).  Research by Bibb (2007:5) suggests that this mark may have been applied to Japanese ceramics as early as 1902 in accordance with British import laws, although the US customs did not require the ""Japan"" mark until 1921.","Near Mukilteo, Washington",1903-1928,Mealtime Tableware,Jiki (porcelain),Chawan (indeterminate bowl),Footring= 4.5 cm,Shita-Etsuke (underglaze),Iro Doban (colored transferprint),Doban or Doban Tensha (transferprinted),Cobalt blue,Indeterminate,None,None,None,"Transferprint mark on base: ""TRADEMARK/ [Kikusui, or chrysanthemum on water ]/MADE IN/JAPAN""",Japan,Most popular in the Meiji (1868-1912) and Taisho (1912-1926) eras,University of Idaho Library Digital Initiatives,Copyright under creative commons license. Images available for reuse in educational (non-commercial) instances; see license details at Creative Commons.,https://creativecommons.org/publicdomain/mark/1.0/,"Photo courtesy of the Burke Museum of Natural History and Culture, catalog no. 45SN398B/2007/224, US Air Force Collection, held in trust at the Burke Museum, Seattle.  See citation guidelines.",45SN398B-2007-224,Renae Campbell,,,2018-02-07,2018-05-31,http://digital.lib.uidaho.edu:80/cdm/ref/collection/HJCCC/id/14,14,16.jpg,/HJCCC/image/16.jpg
hjccc-15,Doban Ume Soba-Choko (noodle cup with transferprint plum),45SN398B/2007/1692,"Burke Museum of Natural History and Culture, US Air Force Collection",These sherds are most likely from a soba choko based on the vessel size and shape.  Soba choko are intended to hold sauce that cold soba noodles are dipped into (Costello et al. 2001:36).  The popularity of green transferprint peaked in the 1920s or 1930s.,"Near Mukilteo, Washington",1903-1928,Mealtime Tableware,Jiki (porcelain),Soba Choko (cold noodle cup),Base= 6.5 cm,Shita-Etsuke (underglaze),Iro Doban (colored transferprint),Doban or Doban Tensha (transferprinted),"Green, pink",Ume (plum) tree,None,None,None,None,Japan,The dominantly green transferprint may indicate manufacture during or shortly after the Taisho era (1912-1926),University of Idaho Library Digital Initiatives,Copyright under creative commons license. Images available for reuse in educational (non-commercial) instances; see license details at Creative Commons.,https://creativecommons.org/publicdomain/mark/1.0/,"Photo courtesy of the Burke Museum of Natural History and Culture, catalog no. 45SN398B/2007/1692, US Air Force Collection, held in trust at the Burke Museum, Seattle.  See citation guidelines.",45SN398B-2007-1692,Renae Campbell,,,2018-02-07,2018-05-31,http://digital.lib.uidaho.edu:80/cdm/ref/collection/HJCCC/id/15,15,17.jpg,/HJCCC/image/17.jpg
hjccc-16,Sometsuke Fuku Chawan (bowl with cobalt hand-painted 'luck'),45SN398B/2007/2059B,"Burke Museum of Natural History and Culture, US Air Force Collection","Vessel body and rim fragment.  The rim diameter suggests this vessel is a type of chawan. Decoration consists of a partial character, 福 (fuku or luck), in circular medallion on the vessel exterior.","Near Mukilteo, Washington",1903-1928,Mealtime Tableware,Jiki (porcelain),Chawan (indeterminate bowl),Rim~ 12 cm,Shita-Etsuke (underglaze),Sometsuke (hand-painted cobalt),Etsuke (hand painted),Cobalt blue,"Horizontal band around footring, indeterminate, written characters",Etsuke (hand painted),Cobalt blue,Horizontal band around rim,"Mark on vessel side-wall is part of the character for fuku (福), which means luck.",Japan,Meiji (1868-1912) through early Showa (1926-1989) eras,University of Idaho Library Digital Initiatives,Copyright under creative commons license. Images available for reuse in educational (non-commercial) instances; see license details at Creative Commons.,https://creativecommons.org/publicdomain/mark/1.0/,"Photo courtesy of the Burke Museum of Natural History and Culture, catalog no. 45SN398B/2007/2059B, US Air Force Collection, held in trust at the Burke Museum, Seattle.  See citation guidelines.",45SN398B-2007-2059B,Renae Campbell,,,2018-02-07,2018-05-31,http://digital.lib.uidaho.edu:80/cdm/ref/collection/HJCCC/id/16,16,18.jpg,/HJCCC/image/18.jpg
hjccc-17,Sometsuke (hand-painted cobalt) Vessel [1],45SN398B/2007/234Q,"Burke Museum of Natural History and Culture, US Air Force Collection","This sherd is possibly from a small bowl, teacup, or sake cup. The decoration present consists of bands around the footring and linear elements that may be matsu (pine) needles, which are a common symbol of strength, fidelity, prosperity, and, when depicted as needle pairs, of unfailing devotion.  Depictions can be highly stylized (Gorham 1971:209-210; Ross 2012:20)","Near Mukilteo, Washington",1903-1928,Indeterminate Tableware,Jiki (porcelain),Unknown,Footring= 4 cm,Shita-Etsuke (underglaze),Sometsuke (hand-painted cobalt),Etsuke (hand painted),Cobalt blue,"Horizontal band around footring, indeterminate (possible matsu [pine] needles)",None,None,None,Hand-painted base mark is too stylized to read.,"Possibly the Seto or Mino region, Japan",Minimalistic hand-painted sometsuke may indicate Taisho-era (1912-1926) manufacture,University of Idaho Library Digital Initiatives,Copyright under creative commons license. Images available for reuse in educational (non-commercial) instances; see license details at Creative Commons.,https://creativecommons.org/publicdomain/mark/1.0/,"Photo courtesy of the Burke Museum of Natural History and Culture, catalog no. 45SN398B/2007/234Q, US Air Force Collection, held in trust at the Burke Museum, Seattle.  See citation guidelines.",45SN398B-2007-234Q,Renae Campbell,,,2018-02-07,2018-05-31,http://digital.lib.uidaho.edu:80/cdm/ref/collection/HJCCC/id/17,17,9.jp2,/HJCCC/image/9.jp2
